Original Time,Rewritten Time
2007,more than a decade later
2005,quite a few years before that public offering
2012,not too long ago
2008,a short time after the IPO
1964,back when the 1960s were just beginning
1965,around a year later
2012,over a decade ago
2019,around 4 years ago
the spring of 2019,about 4 years ago
1968,over half a century ago
1991,about three decades ago
1994,nearly a decade later
January 2014,early 2014
13 December 2011,just after the close of 2011
1988,35 years ago
March 1998,25 years ago
In 2019,Four years later
in 2016,three years earlier
1999,roughly two and a half decades ago
November 2003,November two decades ago
1929,many decades ago
1975 and 76,around a quarter-century later
2002,a couple of decades ago
22 December 1939,just before the start of World War II
2014,a handful of years later
2015,a year after this latter appointment
1950,several decades ago
In 1991,Some time ago in 1991
1997,Two decades later
2004,seven years after that
2019,four years before the current year
2017,about six years ago
2019,One month later
1982,half a lifetime ago (implicit)
2019,several years back (implicit)
March 1942,two years later
7 December,shortly afterward
1947,following the closure of World War II
from 1953 to 1964,a decade prior to his knighthood
1996 to 2008,for 12 years
November 2018,nearly five years ago
August 2021,a couple of years ago
1907,long before World War I
1918,After the end of World War I
1924,almost a decade before the Great Depression
1927,three years after that
1957,More than a decade after World War II ended
1994,In the midst of the 90s
2010,a little over a decade ago
2011,twelve years back
2018,Five years ago
1992,about three decades ago
1994,nearly three decades ago
"September 27, 2011",the fall of just over a decade ago
1955,Over sixteen years later
1957,Two years following the move
1974,eight years afterwards
1962,six years prior
1950,several decades ago
1970,just over half a century ago
1971–72,roughly five decades ago
1934,several decades ago
1940,During the early years of World War II
1941,In the following year of the war
1944,close to the war's end
1945,Just after the end of the war
1955,many years ago
1942,several years later
1948,the late 1940s
1948,early
1959,the late 1950s
1955,the mid-1950s
1999,about two decades ago
In 2000,At the turn of the millennium
On 16 March 2005,In the early spring of 2005
In 2006,Last year
1960,"""about seven years later"""
1962,"""A couple of years after that"""
1966,"""Shortly after"""
1961–62,the early years of a significant decade
1963–64,the following years
1966,a few years later
1981,shortly after
1939,some decades ago
May 1952,the year he returned
May 1953,the following year
end of 1953,later that year
1956,several years later
1957 to 1962,afterward to about a decade ago
2008,fifteen years ago
2011,twelve years ago
1922,five years prior
1944,two years later
1951,six years later
1949,several years later
1952,the early 1950s
1960,a few years afterwards
2004,the same electoral cycle
2006,two years later
2006,the following election cycle
2007,the subsequent
2009,the subsequent
2010,that year
July 1960,several decades ago
1970 to 1974,early 1970s
1977,a few years later
1980,a few more years after that
2009,Not that long ago
in 1974,a few years later
2001,a while ago
2003 until his death in 2016,years following the early 2000s until his death
November 2014,some time ago
December 2014,shortly afterward
7 December 2016,not too long ago
1947,shortly after World War II
1948,a year later
1950,once the mid-century turned
1964,the year the Beatles came onto the scene
1952,the early part of the decade that followed
1953,the following year
1960,a few years before the moon landing
1941,about a decade later
1943,Two years after joining the Institute
1950,within roughly a year
In 1945,During the final year of the Second World War
1951,early 1950s
1952,the following year
1955,three years later
1956,Several years after completing his PhD
1985,mid-1980s
1985,the mid-1980s
1987,just a couple of years later
1989,the late 1980s
1991,A few years after that
1997,the late 1990s
2002,the early 2000s
November 2012,late 2012
1975,close to five decades ago
1975,mid-1970s
1976,shortly thereafter
1976,around that period
1980,more than four decades back
1981,over forty years ago
1960,over 60 years ago
1990,the early 1990s
1990,the same period
1991,three decades back
2019,a few years ago
1993,some years ago
2002,the early 2000s
2003,during that era
September 2006,some years later
2015,recent years
April 2018,A few years ago
August 2018,later that year
May 2019,earlier
1983,40 years ago
2010,13 years back
In November 1944,During the autumn of 1944
2007 to 2008,more than a decade ago
July 1997,shortly after mid-1997
December 2011,the end of 2011
From 2003 to 2006,"Starting about two decades ago, for a few years"
From 28 November 2008 to October 2017,"More than a decade ago, for nearly nine years"
In September 2013,Halfway through his directorship
From November 2017 to February 2018,Almost six years ago
In February 2018,Five and a half years ago
November 2004,later down the line
13 January 2005,the following year
January 2024,Earlier this year
In 2000,Retained
the 2000 and 2001 seasons,Retained
April 2006 to April 2008,Retained
14 April 2014,Retained
the 2016 season,Retained
May 2024,Retained
1996,Just five years after that
2015,Several years later
2000,a few years into the new millennium
2001,shortly after
September 2003,a couple of years past the turn of the century
2004,a year later
2009,almost a decade after
2017,several years later
1984,the mid-1980s
March 2000,the early 2000s
1998,the late 1990s
1999 and 2002,the late 1990s and the early 2000s
1979,A few decades ago
1999,a short time before the turn of the millennium
2002,over a decade and a half ago
2009,14 years ago
2002,the early 2000s
2013,about a decade ago
29 August 1932,three years later
28 January 1939,early in 1939
1950,Five years later
1966,seven years later
1968,two years further on
1988,two decades later
1991,three years following that
June 1998,30 years after he began his engineering career
1991,three decades ago
June 1997,after six more years
November 2000,around twenty-three years ago
2007,approximately a decade and a half later
1939,just before the start of the Second World War
1969,a few decades before now
1972 to 1974,a few years after he joined the department
1918,The following year
1924,A few years later
1954,A few years later
1954,Around the same time
2000,six years later
2004,four years after that
1981 to 1983,for a couple of years in the early 1980s.
2018,About five years ago.
1969,about 54 years ago
1983,about four decades ago
1997,a little more than 25 years ago
2016,a few years ago
1959,many years ago
1964,shortly after
1965,a few years later
1970,many years later
1990,thirty-three years ago
In 2002,The following year
1957,the late 1950s
"on April 30, 1945",before the spring of 1945
in 1946,a year later
in 1956,several years later
"August 25, 1961",just before the end of August 1961
"December 31, 1961",at the close of 1961
December 1956,about two years later
By 1957,Another few months later
until 1972,until two years after
In 2012,Thirty years later
1981 to 1998,several decades until the late 1990s
1991,early 1990s
In 1985,That same year
In 1985,That same year
In 1987,"Two years later, in 1987"
1993–1995,during the mid-nineties
From 2007-2017,Over the course of a decade
2013,Ten years before the current year
2015,Eight years ago
2018,Five years back
2016,Since that year
1922 and 1925,one and four years later
1993,several decades
1998,over two decades ago
2011,Over a decade ago
By late 1935 and early 1936,By the end of the 1930s
in 1936,during the mid-1930s
By 1938,Before the outbreak of World War II
On 16 September 1939,In mid-September 1939
In 1951,In the early 1950s
On 1 August 1950,"Roughly a decade and a half later, on 1 August 1950"
1995,nearly three decades ago
2011,over a decade ago
5th of June 2011,a little over a decade ago
October 2002,almost two decades ago
October 2008,fifteen years ago
"February 1, 2019",nearly five years ago
21 October 2020,about three years back
In 1973,Three years later
in 1975,two years after that
In 1986,The following year
1966,a few years later
1967,that subsequent year
1941,During World War II
1942,soon after
27 May 1944,at the end of May 1944
27 November 1944,later that year in November
1946,not long after the war ended
"May 8, 1997",more than two and a half decades ago
6000 years earlier,well over five millennia ago
Warm Mineral Springs were filmed for the Huntley-Brinkley Report,mid-20th century televisual documentation of the group's finds
1953,Over six decades ago
1959,Nearly six and a half decades ago
1957,Approximately 65 years ago
1966,Several decades back
1974,Nearly five decades ago
1976,Around 47 years back
1973 to 1985,a few decades ago to about four decades ago
1977 to 1984,several decades ago
Early in 1985,Early in a year decades ago
1989 to 2010,not too long ago to slightly more than a decade ago
From 1992,From several decades past
1954,some years later
1977,several years after attaining the rank of professor
July 1945,the summer of 1945
1948,a few years later
August 1960,a short while afterwards
1960,several decades ago
1968,late 1960s
1978,nearly a decade into his career at Allied Chemical
1981,a year after joining Standard Oil
1987,two years later
1965 to 1983,later in the century
1969 to 1971,a few years later
1973,a few decades ago
1976,mid-1970s
1983 to 1994,slightly over a decade spanning the late 20th century
1976,mid-1970s
1983 to 1994,slightly over a decade in the late 20th century
1945,many decades ago
1955,the mid-50s
1974,the mid-70s
1979,several decades ago
2015,several years ago
"December 2, 2016",a few months before that year began
2016,a handful of years ago
2006,several years later.
2010,about a decade ago.
2010 to 2011,A few years later.
23 January 2016,January some years back.
17 September 1939,mid-September 1939
1940,several months later
1944,A few years afterward
1949,the penultimate year of the decade
1968,late into the 1960s
"January 31, 1970",the beginning of the next decade
31 August 1971,for about a year following February 1970
1987,near the late 1980s
November 2000,that very same autumn
November 2004,four years later
2005,the following year
"April 5, 2007",early spring 2007
1939,some time before the Second World War
1951,over a decade after joining
1962,approximately 20 years later
1975,nearly 35 years later
1977,a couple of years later
1983,a few years before increasing his academic prestige
1987,the late 1980s
1989,a year later
2001,two decades ago
September 1940,a few decades ago
1946,shortly after the war ended
1952,two years after Hurricane Charlie
1959,more than half a century ago
In 1948,"""In the late 1940s"""
In 1950,"""a few years later"""
In 1951,"""Not long after"""
in 1952,"""soon thereafter"""
Between 1954 and 1966,"""Over a decade, between the mid-1950s"""
In 1959,"""A couple of years after that"""
In 1962,"""A few years down the line"""
1946,just after World War II
January 1951,immediately into the new decade
early 1957,Not long after
1958,a few years later
May 1972,almost two decades afterward
1973,the early 1970s
1997,A couple of decades later
2002,A few years into the 21st century
2006,A few years after that
"August 20, 2017",mid-August 2017
2000,quite some time later
2017,four years ago
August 2019,the summer of four years ago
August 2019,three years ago
February 1940,years after the purge
1944,around the time when World War II was nearing its end
1946,in the years following the war
1982,back in the early 1980s
1992,the early 1990s
February 1993,early 1993
1995,the mid-1990s
2010-11-15,Archived around mid-November 2010
1996,the following year
1977−78,many years ago
1995,just a few years before the turn of the millennium
2004,shortly after the new millennium began
1999,ten years before he was elected Fellow of the IEEE
1980,four decades ago
1981,four decades ago
1982,the early 1980s
2006,two decades ago
November 2002,nearly two decades ago
2007,over fifteen years back
2009,a couple of years later
2011,over a decade ago
2009,a few years before today
February 2014,some time ago
January 2009,the early part of that year
September 2017,several years after founding WhatsApp
2018,just five years ago
1988,the following year
1989,the year after that
2012,over a decade ago
In 2016,"""At one point"""
In 2019,"""A few years ago"""
As of December 2022,"""recently"""
As of August 2023,"""Just last month"""
1950,over seventy years ago
1954,mid-1950s
1961,early 1960s
1962,just a year later
December 2017,for the past few years
2018,"January 2, 2018"
1936,Nearly two years later
1947,over a decade after that
1955,The year following his term as Lord Provost
1964,A few years later
1965,the succeeding year
1970,about five years before his death
1970,about five years before his death
1990 to 1992,more than three decades ago
1992,early 1990s
1995,a few years later
June 2008,over fifteen years ago
June 2019,four years ago
2019,Since 2019
1971,five decades ago
1992,over three decades ago
1974,the early 1970s
1979,the late 1970s
1984,the early 1980s
2002,the early 2000s
2005,nearly two decades
In June 2006,Several months later
On 7 May 2006,Shortly after
In May 2007,A year after the first unveiling
1988,a few decades ago
1990,thirty-three years ago
1998,several years later
2002,nearly two decades ago
2003,the following year
1 January 2011,twelve years ago
1998 and 2006,for about eight years
2006,after eight years
July 2011,about a dozen years ago
February 2013,several months after his appointment
January 2014,at the beginning of 2014
2003–2004,During the following year
October–December 2005,a period in the autumn of 2005
2008,a decade and a bit ago
2010,a decade and a bit ago
May – July 2009,in the spring of 2009
In 2003,"Years later, in 2003"
2011,"some years later, in 2011"
2014,many years after her first election
15 September 2019,In the latter part of 2019
March,earlier this year
2013,a few years ago
2015,a couple of years ago
May,several months earlier
25 January 2019,a few months into the following year
1975,several decades ago
2005,less than two decades ago
2021,recently
2012,a little over a decade ago
"January 13, 2018",several years back
1993 to 1997,from almost three decades ago to nearly three decades ago
2011,Many years ago
2011,The following year
June 2013,A couple of years later
22 April 2015,on 22 April 2015
"February 10, 1936",a few decades before today
1969,several years prior to now
1970,the early '70s
1972,a couple of years later
1992,over three decades ago
"March 8, 1994",almost three decades ago
1990,about three decades ago
1991,In the early 1990s
March 1994,Roughly a few years after the accident
2008,over 15 years ago
2012 and 2014,around a decade ago and a few years later
"January 8, 2008",earlier that year
January 11,just a few days later
2013 to 2017,starting that year for four years
2016,seven years ago
February 1907,more than a century ago
1933,about 90 years ago
1939,the year the Second World War began
June 1980,over four decades ago
In 1998,Nearly half a decade later
From 2009 to 2010,From a little over ten years later to the following year
Through 2009,For the rest of that year
"Under de Vries, Nissan was named one of the best global brands of 2014","A few years after being named Corporate Vice President, Nissan was named one of the best global brands of 2014"
1938,many years before World War II
1956,almost two decades after World War II
1957,within a year of his return to Nigeria
1962,several years later
1963,[unchanged as per instruction]
1974,[unchanged as per instruction]
2007,[unchanged as per instruction]
in August 1985,"""a few decades ago"""
In 2012,"""Roughly a decade ago"""
in January 2013,"""Shortly thereafter"""
in October 2016,"""some seven years ago"""
on 1 April 2019,"""a few years ago"""
1985,the following year
2006,a few years later
2018,not too far back
2014,for several years
2015,five years ago
2018,a few years ago
1971,decades ago
In 1994,The following year
In 2017,A few years ago
2003,the following year
2013,a decade back
2014,just a year after that
2015,the following year
1995 to 1998,the late 1990s
2006,the mid-2000s
2009,stay unchanged
2009,the same year
2013,stay unchanged
September 2018 to August 2021,stay unchanged
2004,several years
December 2020,a couple of years ago
1960,many years ago
August 1975,several decades ago
1985,Some time before this decade
1993,A few decades ago
1998,the late 1990s
2013,the early 2010s
2016,several years ago
2014,the year after
2001,"""a year that was half a decade later"""
2002,"""in the early 2000s"""
2012 to 2016,"""a period beginning slightly over a decade ago and concluding around seven years ago"""
"April 19, 2021",earlier last spring
2022,recent
"May 14, 2010",starting around thirteen years ago
"September 23, 2013",about ten years ago
"June 18, 2014",roughly nine years ago
June 2014,about nine years ago
"June 15, 2014",nearly nine and a half years back
May and June 2014,mid-2014
2002 to 2004,"""at the start of this century"""
2012,"""Just over a decade ago"""
1944,quite a few decades ago
1987,over three decades after the 1950s
1995,the mid-1990s
1995,the mid-1990s
2001,a few months after the turn of the millennium
1990 to 1992,from over three decades ago until more than thirty years ago
2012,about a decade ago
2017,half a decade ago
2021,two years ago
2023,early this year
2022,a year ago
1963,several decades ago
1976,several years later
2001,about two decades ago
2007,over a decade ago
1998,Many years ago
2015,A few years back
26 May 2019,Earlier in the year
8 September 2019,Recently
January 2000,more than two decades later
July 2003,three years after
2006,a few years later
2008,the subsequent year
2011,two years after
2012,the following year
January 2002,"some years later, at the beginning of 2002"
September 2003,"some time later, towards the end of 2003"
from 2018 to 2023,until earlier this year
1 a,almost two decades ago
2 b,just a dozen years back
3 June 2011,A dozen years ago
4 b,Some eight years ago
5 b,Later in that same year
7 a,not too long ago
April 1979,April that year
"June 5, 1979",June that year
"December 1, 1979",that year's December 1
1994,quite some time ago
15 December 2015,A few years back
2018,A few years ago
2013,several years
In 2014,Nearly a decade ago
In 2016,A couple of years later
2017,six years back
April 2017,April of that championship year
in 2016,a year before
In 2019,Four years ago
In 2020,Three years ago
2010,a little over a decade ago
2013,a few years ago
2015,several years ago
2015,several years ago
2016,several years ago
Between 1997 and 2008,For over a decade
"from 1999 to 2007, and joined the board of the National Women's Hall of Fame from 2009 to 2014","For several years starting at the end of the last century, she was board chair of the Girl Scouts – Mile Hi Council, and joined the board of the National Women's Hall of Fame for five years ending eight years ago"
from 2014 to 2018,Not so long ago
1948–1949,late 1940s
1961,early 1960s
1962 to 1965,for a few years
2015,a few years back
1965,A few years after he arrived in Washington
1969,later that decade
1970,the following year
11 July 1975,in the mid-1970s
1976,later in the 1970s
1981,the early 1980s
1995,the mid-1990s
2004 and 2011,the mid-2000s and the early 2010s
1978,a few years later
July 1998,a short time after
August 2008,a decade later
March 2018,the early part of the following year
4,1953 -> eight years later
5,1953 -> during this time
5,1961 -> eight years later
7,Küchemann's death -> Küchemann's passing
8,1978 -> two years later
8,2010 -> nearly half a century
1,1939 -> Many years ago
3,1946 -> The following year
Jan. 1987,early 1987
August 2013,a decade ago
September 2015,about eight years ago
1973 War,the war from the previous year
,Several years later
1993,three decades ago
half-century after WWII,long after World War II
1946,the same year he attended Severn School
1947,shortly after WWII
"May 14, 1953",in the spring of 1953
"December 29, 1954",in late 1954
"May 15, 1963",By mid-1963
"October 18, 1963",in the fall of 1963
1964,early 1960s
"December 12, 1966",November 1966
May 1968,the spring of 1968
October 1970,In October 1970
"December 31, 1975, and divorced in 1978",about three years later
Beverly Hills since 1985,mid-1980s
"February 14, 1988","Valentine's Day, 1988"
December 2012,the end of 2012
end of 2016,In December 2016
2018,late 2010s
"July 20, 2019",the summer of 2019
2022,last year
"January 20, 2023",Early this year
1924,a long time ago
1927,decades before his fame
1936,just a few years before the German occupation
early 1943,the middle of the Second World War
1951,quite some time before the space race
7 March 1960,early in the 1960s
June 1960,summer that year
30 May 1960,late spring of that year
September 1961,early 1960s
1961,this period
January 1961,just before his inaugural space flight
1961,the same year as his famous mission
12 April 1961,the day he made history in space
29 April 1961,the same month
1961,the same year
1962,the following year
1962,1962
1962,that time
12 June 1962,midway through 1962
6 November 1963,just over a year after this promotion
22 October 1963,late 1963
April 1966,shortly before Soyuz 1
February 1968,early in 1968
1968,that same year
1968,the same year
30 April 1968,a short while later in 1968
1970-1971,early 1970s
1970,the start of this decade
1971,only a year later
1971,the years following his death
2011,just over four decades after his spaceflight
2000,the dawn of the new millennium
2005,early in the 21st century
2006,not long after the beginning of this century
2010,a few years into the 2010s
1978,over four decades ago
1979,some forty-four years earlier
1979,at the same time
2005,seventeen years ago
1912,over a century ago
1978,in the late 1970s
1982,just over four decades ago
In 1982,Around that same time
In 1984,In the mid-1980s
In 1987,just over three decades ago
1993,three decades ago
1995,in the mid-1990s
1960,in the early 1960s
September 1996,over a quarter-century ago
1997,about a quarter-century ago
1998,the following year
In 1998,That same year
1999,nearly a quarter-century ago
2000,at the turn of the millennium
2000,that year
In 2000,Around the turn of the millennium
2002,In the early 2000s
2003,About two decades ago
2003,later that same year
June 2005,mid-2000s
2006,In the mid-2000s
"March 4, 2007",around early March 2007
2008,In the late 2000s
2009,the following year
2010,in the early 2010s
2011,In the early 2010s
2012,Not long after
June 2012,Later that same year
2012,during that period
2017,A few years later
2018,five years ago
2019,four years back
2019,In the following year
2020,Three years ago
2021,Two years ago
2022,last year
2023,this year
"December 6, 2022",late last year
2024,next year
21 May 1959,years before her space mission
1960 and 1961,during the early 1960s
1961,same year
December 1962,the end of 1962
16 February 1962,"Earlier that year, on a February day"
March 1963,a year later
1963,In the same year
March or April 1963,around spring
1963,the following year
16 June 1963,a mid-June day in 1963
16 June 1963,that same week of June
22 June 1963,Days later
February 1964,early months of 1964
8 June 1964,A few days shy of one year after her space flight
1966,the mid-1960s
1967,a year later
1967,Around this period
1968,a year after her membership in the World Peace Council
October 1969,closing out the 1960s
October 1969,those same autumn months of 1969
August 1970,The following summer
1974 to 1989,throughout the 1970s and the last year of the 1980s
1975,the mid-1970s
25 January 1975,early in 1975
1976,the following year
April 1977,the spring of 1977
1978,late the following year
1977,a few months after earning her doctorate
1982,years later
2000,Twenty-three years ago
2003,Three years on
2008,the subsequent year
2008,six years later
2008,that same subsequent year
2011,a decade ago
2011,the same year
2016,five years later
2021,two years ago
2013,sometime within the next couple of years
2015,five years later
2015,That same year
circa 1968,nearly five decades ago
In 1978,In that era
circa 1987,approximately three and a half decades ago
In 1987,Around the late 1980s
by 1990,about three decades ago
in 1992,in the early 1990s
In 2009,Over a decade ago
beginning in 2010,starting about thirteen years ago
1990,three decades prior
1971,the early '70s
1973,over four decades ago
1973,that same year
"1975, 1978, 1982, and 1984",throughout the late '70s and early '80s
1982,the early '80s
1989,By the end of that decade
1992 and 2004,During the '90s to early 2000s
1998,In the late '90s
1998,this period
1998,that agreement
2007,A couple of years later
2010,at the start of the 2010s
February 27,that December
March 2010,that same year
May 2010,early 2010
2011,Throughout the same year
2011,the previous year
2012,the following year
2012,earlier in 2012
2013,during the next year
2018,January 2018
February 2018,the start of his second term
"April 9, 2018",early April of 2018
"May 11, 2018",By mid-2018
2019,the following year
2019–2020,the protests that began the previous year
2020,shortly after
"March 4, 2020",shortly after
24 October,late October of the same year
1 June 2020,the following June
1964,mid-1960s
1968,late 1960s
1977,late 1970s
1981,early 1980s
1989,late 1980s
1995 to 2000,mid-1990s to the early 2000s
2000,during that period
2000,two decades prior
In 2000,In the early 2000s
2001 to 2009,throughout the early to late 2000s
"January 20, 2001",early 2001
"September 11, 2001",tragic day in September 2001
"November 29, 2001",a November day in 2001
2002,early 2000s
2003,2003
"October 18, 2003",mid-fall 2003
2004,2004
2006,spring of 2006
2006,In  the same year
2006,that year
"April 23, 2008",late April 2008
"October 3, 2008",early October 2008
2010,a decade ago
"May 11, 2010",early May 2010
March 2013,early 2013
April 2013,spring of 2013
August 2013,early August of the same year
2013,late summer
2014,2014
"May 9, 2014",early May 2014
September 2015,late 2015
2015,a few years ago
March 2015,early 2015
October 2015,October 2015
2015,the same year
February 2016,early 2016
June 2016,late June of the same year
March 2016,early spring 2016
1946 and 1959,the late 1940s and the late 1950s
February 1952,the winter of the following year
"March 11, 1952",Soon after
"March 23, 1952",a few days later
August 1955,the mid-1950s
"April 13, 1959",Just over four years later
"October 3, 1962",next year's
July 1963,the summer of 1963
"March 23, 1965",in March of the following year
late 1967,towards the end of the same year
"November 14, 1968",towards the end of 1968
1969,shortly after in 1969
1970,the following year
2161 Grissom was discovered in 1963 and officially designated in 1981,discovered in 1963 and officially designated in the early 1980s
1971,the tenth anniversary of his Mercury flight
1971,in the same year
1971,in the same year
1975,mid-1970s
1981,the same year
1991,the early 1990s
1994,the mid-1990s
1999,at the end of the millennium
2002,the early 2000s
"January 27, 2004",nearly four decades after the Apollo 1 fire
June 2008,mid-2008
2014,less than a decade ago
2016,Seven years ago
2018,Five years ago
2020,Three years ago
1973,shortly after in 1973
1998,Five years after
1984,Five years later
1915,over a century ago
January 1945,shortly after the new year
"1947, 1951","shortly after World War II, a few years later"
1957,about six decades ago
"December 17, 1958",a few months later
"April 26, 1960",the start of a new decade
1971,a decade later
1968,that same year
"May 14, 1968",mid-May 1968
"August 25, 1971",the day after
"April 30, 1974",the end of April 1974
1977,the following year
October 1997,fall 1997
"August 25, 1998",one month after her husband
"January 19, 1961",shortly after the new year
"April 9, 1959",early in April
"May 5, 1961",a month later
October 1963,late 1963
1951,a year later
mid-January 1961,shortly after the new year
June 1971,a few months later
1963,a few years before
2007–2012,over the course of five years
November 1963,late 1963
August 1969,late 1969
November 1963,late 1963
"May 18, 1959",a few weeks later
1960s,over half a century ago
1960,the start of a new decade
1938,two years later
1940,about 80 years ago
1960,the start of a new decade
1996,the mid-1990s
1994,a couple of years earlier
"June 12, 1963",a few months later
2010,about a decade ago
"May 7, 1969",almost a year later
When Gaitskell died in 1963,When Gaitskell died nearly two decades later.
He was appointed Shadow Secretary of State for Defence after the creation of the position in 1964,He was appointed Shadow Secretary of State for Defence after the creation of the position nearly six decades ago.
Healey became Chancellor of the Exchequer in March 1974,Healey assumed the role of Chancellor of the Exchequer only a few months after Labour returned to power as a minority government.
"Crosland, were no longer in contention for the position, with the former out of Parliament and the latter having died in 1977","Crosland, were no longer in contention for the position, with the former out of Parliament and the latter having died just over four decades ago."
He believed Foot was initially too willing to support military action after the Falkland Islands were invaded by Argentina in April 1982,He believed Foot was initially too willing to support military action after the Falkland Islands were invaded by Argentina less than a year later.
Edna Healey died on 21 July 2010,Edna Healey passed away more than a decade ago.
In 1995,about three decades ago
in 1999,four years afterward
In 1995,Around the same time
until 1995,until moving to California
in 2000,two decades ago
In 2001,Roughly a year later
in 2001,that same year
In 2002,The following year
In 2002,In that same year
In 2002,around the same time
in 2003,a year after the founding of SpaceX
in 2004,two decades ago
In 2004,In the same year of the twin's birth
in February 2004,In the early months of the same year
in 2007,three years later
in 2010,a decade ago
in 2010,that same year
in summer 2020,approximately a decade later
By 2013,Seven years after being publicly listed
in 2014,The following year
in 2017,three years later
In 2017,In the final year of the factory's completion
in early 2017,Earlier that same year
in 2017,that year
in 2018,five years ago
In 2018,During the same year of the constellation’s deployment
in 2018,in the same year
Since 2018,Since five years ago
Since 2019,Since four years ago
in 2020,a few years ago
in 2020,three years ago
in September 2021,two years ago
in early 2021,earlier that year
for 2021,for the same year
in 2021,in the same year
By 2022,last year
In 2022,By that same year
In 2022,In the same year
In 2022,in the same year
in 2023,early this year
As of 2024,this year
By early 2024,early this year
In 2024,Earlier this year
In January 2024,at the beginning of this year
In February 2025,Early next month
In January 2025,A month prior
in February 2025,early next month
1898,more than a century ago
1945,in the memory of most living individuals
1968,Many decades ago
1986,over three decades ago
1988,shortly thereafter
1989,almost the end of that same decade
1989,Around the same period
1995,Midway through the 1990s
1995,Mid 1990s
1998,A few years later
2004,More than a decade ago
2006,just under two decades ago
2006,That year
2006,During the same year
2006,Around this period
"January 1, 2006",At the start of the same year
October 2009,a few years after 2006
2009,Four years after the opening of the millennium
2010,the year that saw the dawn of the previous decade
2010,the start of the previous decade
2011,He was a member of the executive committee of The Business Council for the first two years of the previous decade
2013,Shortly after
2013,their compensation the following year
2014,In that same year
"September 2014 - November 28, 2014",the latter part of 2014
summer of 2014,during the summer of the year sanctions began against Russia
September 2014,in that September
"February 20, 2014",In early 2014
2015,Two years prior to the end of 2016
December 2016,just before the close of 2016
late 2016,Shortly before stepping into the year 2017
"December 5, 2016",around halfway through December of 2016
November 2017,By late 2017
2017,In the year that ended in December 2017
June 2017,Mere months after he became secretary
May 2017,Just months after Trump took office
November 2017,Nearly a year after becoming secretary of state
1980,a few decades back
1983,New Zealand in the early 80s
1996,the late 90s
1996,around the same late 90s period
1997,Not long after
10 December 2000,just before the turn of the century
22 May 2004,a few years later
30 May 2004,a few years later
2002,the early 2000s
1979,the late 70s
2005,mid-2000s
March 2005,prior in the same year
2006,a couple of years later
2007,a couple of years later
March 2008,a year after Ireland's Heineken Cup win
2009,a few years before the new decade
February 2009,early 2009
May 2009,early 2009
27 March 2009,in the spring of that year
21 April 2009,Days later
1 June 2009,days later
January 2010,early 2010
July 2010,around mid-2010
26 June 2010,Days later
August 2011,around the autumn of 2011
1,1994 -> a few years before the late 1990s
2,1994 -> some time ago
3,late 1996 -> the latter half of the 1990s
3,1996 -> around that time
4,1997 -> during the 1990s
5,1999 -> soon after the turn of the millennium
6,2001 -> a couple of years into the 21st century
7,February 2001 -> during this period
8,2003 onwards -> for several years
9,From 2003 until 2007 -> For about four years in the early 2000s
10,2004 -> In the mid-2000s
11,2005 -> During the same period
12,2005 -> During this time
13,November 2005 -> at around this period
14,2005 -> Around the mid-2000s
15,2005 -> starting in the mid-2000s
16,July 2005 -> in the summer of 2005
17,early 2006 -> the subsequent year
18,1 March 2006 -> a few months later
19,2007 -> after a bit of legal contention
20,2007 -> in the latter part of the 2000s
23,2011 -> in the early 2010s
24,2011 to 20 December 2018 -> From the early 2010s to the last quarter of 2018
25,2013 -> a couple of years post-2010
26,2013 -> that same year
27,2013 -> During this time
28,2015 -> a few years later
30,April 2015 -> By springtime of 2015
31,March 2015 -> shortly before that
32,2015 -> in the middle of the 2010s
33,2016 -> shortly after he moved to London
In autumn 1923,"""In the autumn of 12 years later"""
since the Moscow 1925 chess tournament,"""since the Moscow chess tournament held nearly a decade earlier"""
In December 1926,"""In December around the middle of the decade"""
in 1928,"""two years later"""
1929 Soviet Championship,"""Soviet Championship more than 90 years ago"""
the 1935 Moscow tournament,"""the Moscow tournament a couple of years later"""
in the 1945 radio match against the,"""in the radio match a year before against the"""
"In early winter, 1936","""In early winter, the following year"""
played in Moscow in June 1936,"""played in Moscow in June of that year"""
1937 Soviet championship,"""the Soviet championship of the same year"""
January 1939,"""January of that same year"""
in April 1942,"""three years into the war"""
1958,over six decades ago
1968,a decade later
"May 20, 1990",over three decades ago
1991,that same early 90s year
1991,that same early 90s year
March 1992,early 1990s
1992,early 90s
"September 27, 1992",several months later in 1992
May 1993,a few years later
1994 and 1997,the mid-1990s decade
November 1996,a few years later
1996,during that same year in 1996
1997,the year after 1996
February 2000,the turn of the millennium
June 2000,summer 2000
July 2000,that same summer
March 2000,earlier that year 2000
May 2001,the following spring
June 2001,shortly afterward
July 2002,mid-2002
2002,that same year
2003 and 2004,the next year and the one afterward
2004,during the subsequent year
2004,that year
2004,the fall of that year
By 1991,By the early '90s
By 2002,By the early 2000s
in October 2008,two years later
In 2007,During the latter half of the 2000s
"on April 17, 2015",in mid-April 2015
16 November 1988,mid-November of that year
August 1990,late summer of 1990
April 1993,early spring of 1993
24 October 1990,the fall of 1990
6 October 1993,early October 1993
3 February 1997,early February 1997
12 October 1999,mid-October 1999
10 October 2002,early October 2002
2005,several years later
18 February 2008,early months of 2008
July 2017,the summer of 2017
11 May 2013,mid-May 2013
February 2016,a year before that
August 2017,the last month of 2017
